Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/01/2020 00:00,34.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/01/2020 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/01/2020 00:00,35.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/01/2020 00:00,34.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/01/2020 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/01/2020 00:00,37
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/01/2020 00:00,34.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/01/2020 00:00,35.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/01/2020 00:00,33.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,17/01/2020 00:00,34.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,18/01/2020 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,20/01/2020 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,22/01/2020 00:00,29.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,23/01/2020 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,24/01/2020 00:00,31.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,25/01/2020 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,26/01/2020 00:00,33.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,27/01/2020 00:00,35.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,28/01/2020 00:00,34.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/01/2020 00:00,35.1
